DATE,Median Income,State
2011-01-01,83151,maryland
2012-01-01,84926,maryland
2013-01-01,80794,maryland
2014-01-01,87252,maryland
2015-01-01,84162,maryland
2016-01-01,83277,maryland
2017-01-01,90734,maryland
2018-01-01,93031,maryland
2019-01-01,101283,maryland
2000-01-01,85592,minnesota
2001-01-01,80814,minnesota
2002-01-01,82491,minnesota
2003-01-01,78003,minnesota
2004-01-01,80668,minnesota
2005-01-01,75398,minnesota
2006-01-01,75720,minnesota
2007-01-01,76051,minnesota
2008-01-01,69286,minnesota
2009-01-01,71002,minnesota
2010-01-01,65156,minnesota
2011-01-01,69804,minnesota
2012-01-01,73055,minnesota
2013-01-01,74935,minnesota
2014-01-01,77032,minnesota
2015-01-01,78599,minnesota
2016-01-01,79278,minnesota
2017-01-01,77341,minnesota
2018-01-01,77488,minnesota
2019-01-01,86292,minnesota
2000-01-01,55366,newmexico
2001-01-01,50813,newmexico
2002-01-01,53548,newmexico
2003-01-01,51839,newmexico
2004-01-01,56884,newmexico
2005-01-01,54165,newmexico
2006-01-01,53920,newmexico
2007-01-01,58103,newmexico
2008-01-01,53110,newmexico
2009-01-01,55118,newmexico
2010-01-01,56206,newmexico
2011-01-01,50683,newmexico
2012-01-01,51337,newmexico
2013-01-01,46792,newmexico
2014-01-01,53482,newmexico
2015-01-01,51598,newmexico
2016-01-01,54703,newmexico
2017-01-01,50401,newmexico
2018-01-01,52096,newmexico
2019-01-01,56287,newmexico
2000-01-01,79461,delaware
2001-01-01,76091,delaware
2002-01-01,74982,delaware
2003-01-01,72386,delaware
2004-01-01,69087,delaware
2005-01-01,71254,delaware
2006-01-01,70637,delaware
2007-01-01,71507,delaware
2008-01-01,63959,delaware
2009-01-01,65969,delaware
2010-01-01,68759,delaware
2011-01-01,65989,delaware
2012-01-01,57896,delaware
2013-01-01,63014,delaware
2014-01-01,65895,delaware
2015-01-01,66049,delaware
2016-01-01,65536,delaware
2017-01-01,71799,delaware
2018-01-01,70145,delaware
2019-01-01,78628,delaware
2000-01-01,56791,northdakota
2001-01-01,54907,northdakota
2002-01-01,54670,northdakota
